person_id,person_name,subtitle,role,organisation_name,organisation_kind,area,start_date,end_date
18,ABDURAHMAN ABBA TERAB,"",Committee Member,Science & Technology Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
52,AHMED YUSUF TIJANI,"",Committee Member,Science & Technology Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
162,EMMANUEL BARTHOLOMEW EKON,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
215,HENRY ALADEINYEFA DANIEL-OFONGO,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
391,SAMSON OKWU,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
288,MAHMUD LAWAN MAINA MAINA,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
172,EWA-HENSHAW BASSEY EKO,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
22,ABIODUN ABUDU-BALOGUN,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
55,AJAGBE ADETUNJI TAJUDEE,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
65,ALBERT TAMINU SAM-TSOKWA,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
408,SOLOMON OLAMILEKAN ADEOLA,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
284,LINUS OKORIE,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
375,PETER OHIOZOJE AKPATASON,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
92,ASADU PATRICK OZIOKOJA,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
380,RAPHEAL UZOCHI NNANNA IGBOKWE,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
131,CHANCHANGI RUFAI AHMED,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
318,MUHTARI MUHAMMAD CHIROMAWA,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
105,BABALE BASHIR,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
327,MUSTAPHA DAWAKI BALA,"",Vice-Chairman,Science & Technology Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
414,SUNDAY STEVE KARIM,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
72,ALIYU BAHAGO AHMAN PATEGI,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
42,ADEYINKA AYANTUNJI AJAYI,"",Chairman,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,2011,2019-06
362,OLUSEGUN DOKUN ODEBUNMI,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
130,BWACHA EMMANUEL,"",Chairman,Agricultural Production and Services Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
263,KENNETH ANAYO CHIKERE,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
117,BENI LAR,"",Committee Member,Science & Technology Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
378,RAFIU ADEBAYO IBRAHIM,"",Committee Member,Rural Development Committee (Reps),Legislative Committee - Federal Reps,,"",2015-05-29
136,CHRIS EMEKA IFEANYI AZUBOGU,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
183,FRIDAY ITULAH,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
217,HUSSEIN NAMADI ABDULKADIR,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
224,IBRAHIM KAAMUNA KHADI,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
268,KIGBU JOSEPH HARUNA,"",Committee Member,"Aids, Loans and Debt Management Committee (Reps)",Legislative Committee - Federal Reps,,"",2015-05-29
